InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV1108,STK779,Laptop,7,2023-04-19,259.86,18487,USA
INV1109,STK343,Book,6,2023-04-20,408.31,12212,Canada
INV1110,STK362,Book,10,2023-04-21,139.23,12177,Canada
INV1111,STK856,Bag,3,2023-04-22,30.15,14130,USA
INV1112,STK317,Book,8,2023-04-23,255.73,11716,USA
INV1113,STK663,Phone,4,2023-04-24,436.76,17854,Germany
INV1114,STK257,Bag,2,2023-04-25,497.06,13637,Canada
INV1115,STK983,T-shirt,5,2023-04-26,187.88,10119,Canada
INV1116,STK693,Shoes,2,2023-04-27,330.55,18803,Germany
INV1117,STK405,T-shirt,3,2023-04-28,381.74,19217,Germany
INV1118,STK845,Book,1,2023-04-29,134.39,18658,Canada
INV1119,STK835,Shoes,1,2023-04-30,250.28,15305,USA
INV1120,STK225,Laptop,4,2023-05-01,358.38,12667,Germany
INV1121,STK357,Phone,4,2023-05-02,110.67,13661,India
INV1122,STK599,T-shirt,2,2023-05-03,130.77,14072,USA
INV1123,STK906,Pen,6,2023-05-04,467.53,13376,UK
INV1124,STK463,Bag,6,2023-05-05,455.29,18144,USA
INV1125,STK741,T-shirt,5,2023-05-06,141.14,11497,India
INV1126,STK179,Phone,6,2023-05-07,139.73,14992,Germany
INV1127,STK157,Laptop,6,2023-05-08,6.84,11287,Germany
INV1128,STK738,Bag,8,2023-05-09,460.08,18639,USA
INV1129,STK251,Laptop,6,2023-05-10,360.53,15761,India
INV1130,STK714,Shoes,2,2023-05-11,256.48,17730,India
INV1131,STK806,Shoes,9,2023-05-12,11.55,18281,Canada
INV1132,STK891,Bag,2,2023-05-13,127.96,16131,UK
INV1133,STK212,Laptop,9,2023-05-14,442.37,10421,India
INV1134,STK714,Bag,7,2023-05-15,174.93,17612,India
INV1135,STK507,Pen,5,2023-05-16,390.3,19759,Germany
INV1136,STK891,Book,8,2023-05-17,444.37,11631,India
INV1137,STK889,Book,9,2023-05-18,496.77,11132,USA
INV1138,STK920,Pen,4,2023-05-19,100.4,11321,Canada
INV1139,STK977,Laptop,3,2023-05-20,199.98,16498,Germany
INV1140,STK692,Phone,1,2023-05-21,219.82,12848,USA
INV1141,STK337,Shoes,9,2023-05-22,303.66,18238,India
INV1142,STK232,Pen,8,2023-05-23,284.52,19577,Germany
INV1143,STK417,Bag,4,2023-05-24,77.91,19343,India
INV1144,STK610,Shoes,3,2023-05-25,311.68,18860,India
INV1145,STK471,Laptop,8,2023-05-26,398.87,19491,Germany
INV1146,STK763,Phone,8,2023-05-27,417.55,12540,USA
INV1147,STK453,Phone,10,2023-05-28,47.29,14986,UK
INV1148,STK237,Book,9,2023-05-29,120.09,11234,India
INV1149,STK308,Phone,8,2023-05-30,213.11,16092,USA
INV1150,STK111,Phone,8,2023-05-31,71.76,18664,Germany
INV1151,STK437,Bag,8,2023-06-01,24.71,12383,UK
INV1152,STK691,Phone,6,2023-06-02,309.66,14338,Canada
INV1153,STK669,Phone,9,2023-06-03,458.26,17146,Germany
INV1154,STK227,T-shirt,3,2023-06-04,143.21,19544,Canada
INV1155,STK238,Phone,9,2023-06-05,474.4,17342,India
INV1156,STK223,Laptop,5,2023-06-06,42.06,17654,India
INV1157,STK916,Book,2,2023-06-07,29.57,12680,USA
INV1158,STK625,Pen,9,2023-06-08,275.64,14784,Canada
INV1159,STK236,Shoes,8,2023-06-09,61.68,10271,India
INV1160,STK732,Book,2,2023-06-10,81.12,10000,UK
INV1161,STK137,Shoes,2,2023-06-11,324.24,11500,India
INV1162,STK376,T-shirt,1,2023-06-12,101.67,13347,UK
INV1163,STK924,Bag,7,2023-06-13,72.68,19213,Germany
INV1164,STK461,Laptop,5,2023-06-14,85.77,13195,Germany
INV1165,STK839,Pen,8,2023-06-15,259.06,12702,USA
INV1166,STK355,Bag,6,2023-06-16,368.81,12406,Canada
INV1167,STK250,T-shirt,3,2023-06-17,229.96,13352,India
INV1168,STK287,Shoes,8,2023-06-18,375.15,10428,Germany
INV1169,STK294,Bag,4,2023-06-19,205.83,12200,USA
INV1170,STK410,Shoes,3,2023-06-20,282.27,18551,UK
INV1171,STK557,Phone,6,2023-06-21,149.52,18312,USA
INV1172,STK438,Phone,5,2023-06-22,423.58,18446,Germany
INV1173,STK133,Shoes,6,2023-06-23,210.96,18074,Canada
INV1174,STK341,Bag,2,2023-06-24,128.19,19862,USA
INV1175,STK379,Bag,7,2023-06-25,83.86,12774,India
INV1176,STK251,Book,2,2023-06-26,301.67,10180,Germany
INV1177,STK703,Bag,3,2023-06-27,416.57,18971,USA
INV1178,STK331,Shoes,8,2023-06-28,475.08,10362,Germany
INV1179,STK466,T-shirt,5,2023-06-29,117.01,17430,UK
INV1180,STK142,Phone,5,2023-06-30,348.57,15490,India
INV1181,STK837,Book,8,2023-07-01,53.19,15281,UK
INV1182,STK432,Bag,4,2023-07-02,356.47,11349,USA
INV1183,STK274,Shoes,1,2023-07-03,333.56,11067,USA
INV1184,STK421,Book,7,2023-07-04,490.64,19065,Canada
INV1185,STK747,Laptop,9,2023-07-05,130.69,15158,Canada
INV1186,STK942,Shoes,6,2023-07-06,129.3,15185,UK
INV1187,STK149,Bag,3,2023-07-07,51.26,12665,Germany
INV1188,STK145,Phone,1,2023-07-08,256.78,13337,Germany
INV1189,STK244,Pen,9,2023-07-09,311.34,18283,USA
INV1190,STK209,Shoes,2,2023-07-10,247.59,11177,Canada
INV1191,STK358,Shoes,1,2023-07-11,74.45,10227,Germany
INV1192,STK380,T-shirt,1,2023-07-12,487.86,17996,India
INV1193,STK855,Book,3,2023-07-13,8.04,13764,USA
INV1194,STK296,Bag,4,2023-07-14,37.46,10258,UK
INV1195,STK550,Laptop,3,2023-07-15,388.11,15429,India
INV1196,STK201,Shoes,8,2023-07-16,301.94,18945,Germany
INV1197,STK118,Pen,10,2023-07-17,348.12,18955,USA
INV1198,STK192,Phone,4,2023-07-18,251.46,12605,Germany
INV1199,STK464,T-shirt,3,2023-07-19,117.65,12579,USA
